BHK,Build_Area,Total_Floors,Parking,Furnishing,Location,Price
4,1651,12,No,Semi-Furnished,Chennai,3987364
5,734,15,Yes,Furnished,Salem,5182426
3,800,9,No,Furnished,Erode,2791484
5,2463,20,Yes,Furnished,Tiruchirappalli,5524431
5,1379,17,No,Unfurnished,Salem,5668123
2,1529,17,No,Semi-Furnished,Hosur,2756800
3,1656,20,No,Unfurnished,Chennai,2891892
3,1671,12,No,Furnished,Erode,3054356
3,1102,7,No,Semi-Furnished,Erode,2944392
5,1006,2,Yes,Unfurnished,Erode,5217971
4,2197,3,Yes,Semi-Furnished,Tiruchirappalli,4770257
3,2351,17,Yes,Unfurnished,Salem,3533244
5,1404,5,No,Semi-Furnished,Tiruchirappalli,5323976
2,698,17,Yes,Furnished,Bangalore,2330695
4,1283,17,No,Furnished,Coimbatore,4590327
2,2495,17,No,Semi-Furnished,Coimbatore,2113352
4,1325,2,Yes,Unfurnished,Bangalore,4634474
5,2170,2,Yes,Furnished,Salem,5019999
1,1560,5,No,Furnished,Hosur,829955
4,2362,1,Yes,Furnished,Tiruchirappalli,4796673
2,1212,1,No,Semi-Furnished,Chennai,1813040
5,2085,19,No,Semi-Furnished,Erode,5113582
4,1242,2,No,Unfurnished,Erode,4700815
1,2392,12,No,Unfurnished,Salem,1954935
1,1628,6,No,Unfurnished,Hosur,1569686
3,1841,4,Yes,Semi-Furnished,Coimbatore,3268773
3,1102,11,Yes,Semi-Furnished,Coimbatore,3146095
2,1366,17,No,Unfurnished,Erode,1834676
4,997,6,No,Unfurnished,Salem,4006355
4,1470,5,Yes,Semi-Furnished,Tiruchirappalli,3961280
3,1394,20,Yes,Unfurnished,Coimbatore,3454310
4,992,2,No,Furnished,Tiruchirappalli,4293868
4,806,6,Yes,Semi-Furnished,Hosur,4359846
1,1638,11,No,Unfurnished,Coimbatore,1464744
3,2481,16,Yes,Semi-Furnished,Coimbatore,3851082
5,2177,16,No,Furnished,Madurai,5349968
3,1491,1,Yes,Semi-Furnished,Coimbatore,2984341
5,2084,9,No,Semi-Furnished,Bangalore,5815120
1,2314,6,Yes,Semi-Furnished,Chennai,1597536
2,2198,16,Yes,Semi-Furnished,Bangalore,2478285
4,1463,3,No,Furnished,Salem,4751659
1,1342,20,Yes,Semi-Furnished,Salem,946431
4,1864,4,No,Semi-Furnished,Tiruchirappalli,4791032
2,1163,19,Yes,Unfurnished,Bangalore,2700621
2,1620,3,No,Semi-Furnished,Bangalore,1943180
1,695,19,Yes,Unfurnished,Bangalore,705234
2,2357,20,No,Furnished,Hosur,2535642
5,1084,7,Yes,Furnished,Coimbatore,4895152
2,2030,20,No,Furnished,Chennai,1985459
4,830,9,Yes,Furnished,Tiruchirappalli,4075995
4,1348,1,No,Unfurnished,Bangalore,3964604
4,2278,8,No,Semi-Furnished,Bangalore,4421752
4,1794,7,No,Furnished,Madurai,4800770
5,1140,18,Yes,Semi-Furnished,Tiruchirappalli,5682443
3,1659,8,No,Unfurnished,Bangalore,3557056
1,1124,1,Yes,Unfurnished,Tiruchirappalli,1677574
4,1783,11,No,Unfurnished,Coimbatore,3915763
2,2462,18,Yes,Furnished,Madurai,2468253
4,2322,10,No,Semi-Furnished,Tiruchirappalli,4016334
2,1866,3,Yes,Semi-Furnished,Chennai,2593455
2,1709,7,Yes,Semi-Furnished,Chennai,2267323
4,2419,16,No,Unfurnished,Salem,4824330
5,1177,16,Yes,Furnished,Madurai,5189537
2,1281,20,Yes,Unfurnished,Madurai,1761686
2,1156,17,No,Unfurnished,Salem,1870607
4,2197,2,Yes,Semi-Furnished,Tiruchirappalli,4812732
2,1612,1,Yes,Unfurnished,Madurai,2472708
2,1245,16,Yes,Semi-Furnished,Chennai,2376083
4,1395,12,No,Furnished,Chennai,3999184
4,1651,5,Yes,Semi-Furnished,Bangalore,4496690
1,2243,5,No,Furnished,Coimbatore,1298252
5,2179,9,Yes,Semi-Furnished,Madurai,5697115
5,1963,9,Yes,Unfurnished,Tiruchirappalli,5535212
2,2421,3,Yes,Unfurnished,Salem,2306910
5,1954,19,No,Furnished,Salem,5088575
2,2263,16,Yes,Furnished,Tiruchirappalli,2241936
1,2129,16,Yes,Furnished,Hosur,1713294
4,1971,3,No,Semi-Furnished,Erode,4502564
4,2096,20,Yes,Semi-Furnished,Coimbatore,4008980
4,1854,1,No,Furnished,Salem,4023417
5,789,20,No,Unfurnished,Madurai,5203777
1,1848,11,Yes,Semi-Furnished,Coimbatore,1667206
5,2008,17,No,Semi-Furnished,Madurai,5252205
5,2000,8,Yes,Semi-Furnished,Hosur,5812606
1,1906,4,No,Furnished,Chennai,1770665
1,1232,6,No,Furnished,Coimbatore,1280036
1,1227,8,Yes,Furnished,Bangalore,1686618
1,1572,20,No,Furnished,Salem,852502
4,2368,3,No,Furnished,Coimbatore,4048060
3,1882,16,No,Unfurnished,Coimbatore,3241178
3,1982,3,No,Unfurnished,Coimbatore,2986330
1,1309,18,No,Furnished,Erode,1292889
3,2079,14,Yes,Semi-Furnished,Coimbatore,3543238
3,2034,18,No,Furnished,Madurai,3634427
1,1248,2,Yes,Unfurnished,Chennai,928808
3,917,3,No,Unfurnished,Hosur,2838097
5,2300,16,Yes,Semi-Furnished,Tiruchirappalli,5173945
2,1848,9,Yes,Unfurnished,Coimbatore,2101515
2,2442,4,No,Furnished,Salem,2716352
1,1857,1,No,Semi-Furnished,Coimbatore,1079524
